"brank","name","rate","ratepeople","中文名","话数","上映年度","片长","别名","放送开始","放送星期","原作","导演","脚本","分镜","演出","音乐","人物设定","分镜构图","美术监督","色彩设计","作画监督","摄影监督","原画","主题歌编曲","主题歌作曲","主题歌演出","企画","制片人","制作","动画制作","官方网站","url"
"519","LUPIN the Third ～峰不二子という女～","7.7","1354","鲁邦三世 ～名为峰不二子的女人～","13",,,"雷朋三世 ～名为峰不二子的女人～ LUPIN the Third ～Mine Fujiko Toiu Ona～","2012年4月4日","星期三 25:29 (初回25:49予定)","モンキー・パンチ","山本沙代","西村純二、佐藤大、大西信介、岡田麿里、三次五子","横山彰利、米たにヨシトモ、佐野隆史、花田五郎、西森章、中村章子、板垣伸、大橋誉志光、山本沙代、殿勝秀樹、高橋敦史","板垣伸、西森章、山本沙代、中村章子、土屋康郎、殿勝秀樹、立川譲、須藤真、菱川直樹、原田奈々、山内東生雄、高橋亨","菊地成孔","小池健",,"田村せいき","土居真紀子、茂木孝浩","小美戸幸代、外崎春雄、Kim Dong seek、森山洋、横山謙次、依田正彦、SHIN HYUNG WOO、小池健、沈宏、板垣伸、Kim Gi nam、藤崎賢二、梅津茜","山田豊徳","本橋秀之、箕輪豊、佐野隆史、板垣伸、堀内博之、小島崇史、清水洋、湖川友謙、湯浅政明、依田正彦、丸加奈子、平松禎史、光田史亮、今石洋之、米山舞、中村章子","中島ノブユキ","NIKIIE","NIKIIE",,,,"トムス・エンタテインメント","http://lupin40.com/tv/","https://bangumi.tv/subject/36355"
"520","アルプスの少女ハイジ","7.8","132","阿尔卑斯山的少女","52",,,"飘零燕 小天使 阿尔卑斯山的少女海蒂 Alps no Shoujo Heidi Heidi, Girl of the Alps","1974年1月6日","日曜日","ヨハンナ・スピリの『アルプスの少女ハイジ』","高畑勲","佐々木守、大川久男、吉田義昭","早川啓二、横田和善、斎藤博、池野文雄、富野由悠季、黒田昌郎、奥田誠治、山崎修二","早川啓二、横田和善、小園井常久(表記為演出助手)","渡辺岳夫","小田部羊一","宮崎駿","井岡雅宏","小山明子","芦田豊雄、小田部羊一","黒木敬七","櫻井美知代、高橋信也、富沢信雄、古沢日出夫、米川功真、岡田敏靖、関修一、羽根章悦、ふくもとかん、森康二、村田耕一、才田俊次",,,,"瑞鷹",,,"瑞鷹",,"https://bangumi.tv/subject/5487"
"521","Adventure Time season 5","7.9","94","探险活宝 第五季","52",,,"探險活寶 探险时光 第五季","2012年11月12",,,,,,,,,,,,,,,,,,,,,"Frederator Studios",,"https://bangumi.tv/subject/85316"
"522","星界の戦旗II","7.8","254","星界的战旗II","10",,,,"2001年7月11日","星期三","森岡浩之（ハヤカワ文庫刊）","長岡康史","竹田裕一郎","西本由紀夫、まついひとゆき、篠原俊哉、高木茂樹、山中英治、長岡康史、西澤晋","鶴田寛、高木茂樹、菱田正和、吉村章、長岡康史、西本由紀夫、佐藤千春","服部克久","渡部圭祐",,"岡田有章","横山さよ子","森木靖泰、向山祐治、あきゆたか、橋本誠一、筱雅律、渡部圭祐、しんぼたくろう、高橋晃、佐藤千春","白井久男","長岡康史、高瀬健一、石川てつや、柿田英樹、飯飼一幸、椛島洋介",,,,"渡辺繁、海部正樹、内田健二","海部正樹、岩田幹宏、杉田敦、積惟文",,"サンライズ",,"https://bangumi.tv/subject/9618"
"523","日常 日常の0話","7.7","1387","日常 OAD","1",,,,,,"あらゐけいいち","石原立也","花田十輝",,,"野見祐二","西屋太志",,,,,,"紫藤晃由、中野江美子、小川太一、鴨居知世",,,,,,,"京都アニメーション",,"https://bangumi.tv/subject/36004"
"524","ゆるゆり♪♪","7.7","3831","摇曳百合♪♪","12",,,"摇曳百合 第二季 摇曳百合2","2012年7月2日","星期一","なもり（一迅社「コミック百合姫」連載）","太田雅彦","鴻野貴光、太田雅彦、子安秀明、杉原研二、あおしまたかし","太田雅彦、誌村宏明、工藤利春、矢花馨、博多正寿、三原武憲","川越崇弘、三原武憲、矢花馨、工藤利春、福本潔、荒井省吾","三澤康広","中島千明",,"鈴木俊輔","真壁源太","平野勇一、狩野正志、小宮山由美子、長谷川亨雄、熊田亜輝、嶋田和晃、小泉初栄、宇佐まゆみ、池田広明、半澤淳、橋口隼人、大河原晴男、久保茉莉子、清水勝祐、菊永千里、川島尚、尾尻進矢、藤田正幸、きみしま幾智、酒井智史、谷口元浩、伊藤大翼、鳥山冬美、山田歩、松尾祐輔、中島千明",,"渡邉祐記、清水厚貴、大島縁、関弘光、奥田陽介、三谷暢之、川野達朗、滝本祥子、谷口俊一郎、松尾祐輔、ちな、沖田博文、野中正幸、西井涼輔、柳沼和良",,,,,,"一迅社、テレビ東京、エンスカイ","動画工房","http://yuruyuri.com/2nd","https://bangumi.tv/subject/28900"
"525","名探偵コナン","7.7","4690","名侦探柯南",,,,,"1996年1月8日","6","青山剛昌","こだま兼嗣（#1-#118）→山本泰一郎（#119-#332）→佐藤真人（#162、#219、#333-#504）→於地紘仁（#505-#666）→山本泰一郎（#667-#677）→於地紘仁（#678-#679）→山本泰一郎（#680-#974）→山本泰一郎、鎌仲史陽（#975-）","古内一成、宮下隼一、井上敏樹、日暮裕一、平野靖士、越智浩仁（宇恩寺稚子、於地紘仁）、大野武雄、扇澤延男、橋場千晶、まさきひろ、金子裕、島田満、桜井正明、梶原阿贵、浦沢義雄、大倉崇裕、柏原寛司、辻真先、三上幸四郎、山田豊、飯岡順一、稲本達郎、石川あさみ、大和屋暁、大川俊道、鎌仲史陽、岡部優子、櫻井武晴、望月武、前川淳、村川康敏","こだま兼嗣、佐藤真人、越智浩仁（於地紘仁）、松浦錠平、松園公、山本泰一郎、野上和男、櫻井美知代、市丸知佳、三家本泰美、青木雄三、荻原露光、奥脇雅晴、喜多幡徹、長尾粛、永岡智佳、宮地昌幸、金﨑貴臣、名村英敏、佐々木皓一、影山楙倫、土屋日、京極尚彦、鎌仲史陽、遠藤克己、原田奈々、加瀬充子、吉村章、高木啓明、許平康、辻初樹、黒田晃一郎、西澤晋、岩間貴、渡辺純央、横田和善、鈴木吉男、芦沢剛史","こだま兼嗣、佐藤真人、越智浩仁（於地紘仁）、松浦錠平、野上和男、山本泰一郎、鈴木吉男、原田奈々、戸澤稔、伊藤真朱、久保山英一、荻原露光、鐮仲史阳...等人、野崎真代、元永慶太郎、佐藤育郎、谷澤篤金、矢野孝典、麦野アイス、山崎正和、石川敏浩、山口頼房、茉田哲明、桑原智、齋藤徳明、篠原俊哉、南康宏、長尾粛、谷田部勝義、黒田晃一郎、古田丈司、喜多幡徹、浅見松雄、新子太一、池田智美、菅井嘉浩、鎌仲史陽、和泉志郎、内田祐司、山口美浩、堀内バロン、京極尚彦、長岡義孝、高田昌宏、安部祐二郎、横田和善、高木啓明、関谷真実子、依田正彦、西村大樹、田中智也、秋山宏、福島陽子、土屋日、斉藤啓也、土屋康郎、静野孔文、吉村章、進藤陽平、佐々木皓一","大野克夫","須藤昌朋(#1 -#355)→とみながまり(#219、#263、#356 - #504)→須藤昌朋、山中純子(#505-#576)→須藤昌朋(#577-#626)→須藤昌朋、牟田清司(#627-#680)→須藤昌朋(#681-#803)→須藤昌朋、岩井伸之(#804-#870) →須藤昌朋(#871-)",,"渋谷幸弘(#1-#95、#97-#173、#175-#218、#220-#283)→光元博行(#284-#303、#305‐#368）→長谷川弘行（#304）→加藤靖忠（#369- #478、#480‐#486）→中久木孝将、今泉徹夫（#487-#504）→谷村心一（#505-#514）→東潤一（#479、#515- ）","平山礼子→平出真弓→中尾総子→海鋒重信","古佐小吉重、松本朋之、川島明子、齋藤樹里、西田亜沙子、依田正彦、村上勉、大友健一、須藤昌朋、石井ゆみこ、高谷浩利、はしもとかつみ、谷口守泰、松尾真彦、神谷友美、たないあやこ、渡辺章、牟田清司、朴旲烈、井元愛夕、西山忍、大塚美登理、増永麗、山村俊了、森田実、大島美和、熊田亜輝、斎藤新明、堀内博之、花輪美幸、今泉竜太、鈴木裕輔、石井繁、野村美織、今田茜、吉見京子、田中保、宍戸久美子、青野厚司、谷圭司、山崎正和、糸島雅彦、石野聡、岩井伸之","堀越弘伸、野村隆(#1-#10）→堀越弘伸、小川隆久（#11-#52）→小川隆久（#53-）","飯飼一幸、なかじまちゅうじ、寺尾洋之、吉川博明、依田正彦、平山英嗣、樫山聡之、糸島雅彦、大木良一、朱暁、堀内博之、岡真里子、時永宜幸、酒井啓史、寺岡巌、加々美高浩、石川てつや、佐久間信一、小美野雅彦、芳尾英明、高谷浩利、加藤はつえ、高橋晃、一居一平、山川浩臣、細居美恵子、湖川友謙、和田高明、飯塚晴子、西村貴世、石野聡",,,"小松未歩、倉木麻衣、ZARD","諏訪道彦（ytv）","石山桂一、諏訪道彦、吉岡昌仁",,"東京ムービー→V1Studio、トムス・エンタテインメント","http://www.ytv.co.jp/conan/","https://bangumi.tv/subject/899"
"526","からかい上手の高木さん②","7.7","2012","擅长捉弄的高木同学 第二季","12",,,"からかい上手の高木さん2","2019年7月7日","星期日","山本崇一朗「からかい上手の高木さん」「あしたは土曜日」（小学館「ゲッサン」刊）","赤城博昭","加藤還一、伊丹あき、福田裕子","宇根信也、松村樹里亜、大地丙太郎、桜井弘明、吉川博明、深瀬重、赤城博昭、岩岡夢子、小俣真一","宇根信也、松村樹里亜、深瀬重、岩岡夢子、伊福覚志、村田尚樹","堤博明","高野綾",,"松宮由美","蝦名佳代子","岩永大蔵、西田美弥子、河合拓也、別所ゆうき、鎌田均、前田義宏、清水勝祐、秦洋美、澤田美香、野田康行、川島尚、岡昭彦","牧野真人","豚もう、松尾亜希子、大武正枝、杉本龍彦、輿石暁、土肥志文、木下由美子、長谷川一生、大藪佳奈子、時永宜幸、岩永大蔵、加藤万由子、広江克己、前田義宏、佐藤利幸、小澤和則、谷川亮介、澤田美香、森川侑紀、柴田ユウジ、清水陽一、岡昭彦、三好和也、板倉和弘、森川均、佐藤良隆、小田多恵子、松本勝次、TOMATO、吉田光昭、茂木琢次、松下清志、真島ジロウ、秦洋美、河合拓也、青木康哲",,"大原ゆい子","高橋李依、大原ゆい子",,,,"シンエイ動画","http://takagi3.me/","https://bangumi.tv/subject/271151"
"527","はじめの一歩 New Challenger","7.9","117","第一神拳 New Challenger","26",,,"第一神拳 第二季 第一神拳 新的挑战者","2009年1月6日","星期二","森川ジョージ","宍戸淳","中川淳、室井ふみえ、渡邉こと乃、ふでやすかずゆき","ひいろゆきな、宮繁之、池添隆博、室井ふみえ、玉川真人、新留俊哉、西田正義、高橋知也、渡邉こと乃、宍戸淳、川村賢一、坂田純一","久保山英一、末田宜史、ひいろゆきな、浅利藤彰、鈴木孝聡、渡邉こと乃、内山まな、名取孝浩、高橋知也、大脊戸聡、下田久人、室井ふみえ","平野義久、タニウチヒデキ","杉浦幸次",,"金子英俊","田中千春","杉浦幸次、阿部卓司、日向正樹、Lee Boo Hee、林秀夫、安本学、清水健一、Kim Dae Hoon、金東俊、飯飼一幸、堀剛史、Jang Kil yong、Kim Bo-kyeong","熊澤祐哉","神谷智大、室井ふみえ、細居美恵子、甲斐泰之、小松麻美",,,,"藤本鈴子、平山博志、丸山正雄",,"日本テレビ D.N.ドリームパートナーズ バップ マッドハウス","MADHOUSE","http://www.ntv.co.jp/ippo/","https://bangumi.tv/subject/3641"
"528","銀河英雄伝説 わが征くは星の大海","7.8","166","银河英雄传说 我的征途是星辰大海","1","1988年2月6日","60分钟","Legend of the Galactic Heroes My Conquest is the Sea of Stars",,,"田中芳樹","石黒昇","首藤剛志",,"さかいあきお","VEB Deutsche Schallplatten","奥田万つ里",,"金子英俊",,"奥田万つ里、ねこまたや","石川欣一、石川欽一","野田卓雄、岡村天斎",,,,,"田原正利、菅原善雄、菊川幸夫、丸山正雄","徳間ジャパンコミュニケーションズ、キティ・フィルム","キティ・フィルム",,"https://bangumi.tv/subject/39531"
