No Longer Making Time,Slowdive,SHOEGAZE|遗世独立孤芳自赏
In Your Room,Airiel,SHOEGAZE|遗世独立孤芳自赏
Just Like Honey,The Jesus and Mary Chain,SHOEGAZE|遗世独立孤芳自赏
Young and Cold,The Raveonettes,SHOEGAZE|遗世独立孤芳自赏
Follow Me Down,Swallow,SHOEGAZE|遗世独立孤芳自赏
Release All Night,De La Mancha,SHOEGAZE|遗世独立孤芳自赏
Portese,She， Sir,SHOEGAZE|遗世独立孤芳自赏
Destroyer,The Asteroid Shop,SHOEGAZE|遗世独立孤芳自赏
only shallow,My Bloody Valentine,SHOEGAZE|遗世独立孤芳自赏
Playground Babe,I Mean Us,SHOEGAZE|遗世独立孤芳自赏
Blue Movie, Lowtide,SHOEGAZE|遗世独立孤芳自赏
Shell Button,Milkmustache,SHOEGAZE|遗世独立孤芳自赏
Neotion,thereisnobodydancing,SHOEGAZE|遗世独立孤芳自赏
Cold Cold Night,Ceremony,SHOEGAZE|遗世独立孤芳自赏
Desire Lines,Lush,SHOEGAZE|遗世独立孤芳自赏
Shoreline,Oeil,SHOEGAZE|遗世独立孤芳自赏
Pearl,Chapterhouse,SHOEGAZE|遗世独立孤芳自赏
Overrated,Echo Ladies,SHOEGAZE|遗世独立孤芳自赏
Pickle Plum,Star Horse,SHOEGAZE|遗世独立孤芳自赏
Vapour Trail,Ride,SHOEGAZE|遗世独立孤芳自赏
Elephant,鸽子牛奶,SHOEGAZE|遗世独立孤芳自赏
Melt into Air,Pale Air 淡色艾尔,SHOEGAZE|遗世独立孤芳自赏
She Has Gone,Malory,SHOEGAZE|遗世独立孤芳自赏
Already There,The Verve,SHOEGAZE|遗世独立孤芳自赏
Kaleidoscope,Ringo Deathstarr,SHOEGAZE|遗世独立孤芳自赏
Time Baby III,Medicine,SHOEGAZE|遗世独立孤芳自赏
Athena,Yuck,SHOEGAZE|遗世独立孤芳自赏
CD Girl,La casa al mare,SHOEGAZE|遗世独立孤芳自赏
Telltale,Blush Response,SHOEGAZE|遗世独立孤芳自赏
All I Had,Skywave,SHOEGAZE|遗世独立孤芳自赏
My Heart Skips A Beat,Toy,SHOEGAZE|遗世独立孤芳自赏
Cats， Cats and Cats Again,Cosmic Child,SHOEGAZE|遗世独立孤芳自赏
La nuit marche avec moi,Alcest,SHOEGAZE|遗世独立孤芳自赏
Sugar Pills,Spotlight Kid,SHOEGAZE|遗世独立孤芳自赏
I Want You,Spiritualized,SHOEGAZE|遗世独立孤芳自赏
Skyscraper,The Boo Radleys,SHOEGAZE|遗世独立孤芳自赏
Against the Tide,The Radio Dept.,SHOEGAZE|遗世独立孤芳自赏
Cure,Honeydip,SHOEGAZE|遗世独立孤芳自赏
Klaas,She Bit Her Lip,SHOEGAZE|遗世独立孤芳自赏
Mesa,Blind Mr. Jones,SHOEGAZE|遗世独立孤芳自赏
Bugs,Flyying Colours,SHOEGAZE|遗世独立孤芳自赏
Have It All,Picnic,SHOEGAZE|遗世独立孤芳自赏
The Dead Are Dumb,Nothing,SHOEGAZE|遗世独立孤芳自赏
Prize,Kitchens of Distinction,SHOEGAZE|遗世独立孤芳自赏
A To Fade In,Adorable,SHOEGAZE|遗世独立孤芳自赏
Heros and Halos,The High Violets,SHOEGAZE|遗世独立孤芳自赏
Downfall,Resplandor,SHOEGAZE|遗世独立孤芳自赏
Complicity,You Walk Through Walls,SHOEGAZE|遗世独立孤芳自赏
Adagio And Fugue In C Minor K.546:2. Fugue,Amadeus Quartet,【西方古典】室内乐
Wolfgang Amadeus Mozart (1756-91),Divertimento， K.563， in E-Flat/Es-dur/mi bemol majeur - Allegro - Jascha Heifetz,【西方古典】室内乐
Wolfgang Amadeus Mozart (1756-91),Divertimento， K.563， in E-Flat/Es-dur/mi bemol majeur - Adagio - Jascha Heifetz,【西方古典】室内乐
Wolfgang Amadeus Mozart (1756-91),Divertimento， K.563， in E-Flat/Es-dur/mi bemol majeur - Andante - Jascha Heifetz,【西方古典】室内乐
Wolfgang Amadeus Mozart (1756-91),Divertimento， K.563， in E-Flat/Es-dur/mi bemol majeur - Rondo: Allegro - Jascha Heifetz,【西方古典】室内乐
String Quartet No.6 in F minor， Op.80:3. Adagio,Emerson String Quartet,【西方古典】室内乐
Quintet， K.516， in G Minor/g-moll/sol mineur:Allegro,Jascha Heifetz,【西方古典】室内乐
Quintet， K.516， in G Minor/g-moll/sol mineur:Adagio ma non tropo,Jascha Heifetz,【西方古典】室内乐
String Quartet No.1 in G， K.80:2. Allegro,Amadeus Quartet,【西方古典】室内乐
Mozart,Duo No. 2， K.424， in B-Flat/B-dur/si bemol majeur - Andante cantabile - Jascha Heifetz,【西方古典】室内乐
Wolfgang Amadeus Mozart (1756-91),Sonata， K. 296， in C/C-dur/ut majeur - Andante sostenuto - Jascha Heifetz,【西方古典】室内乐
String Quartet No.15 in D minor， K.421:1. Allegro moderato,Emerson String Quartet,【西方古典】室内乐
