Go Gentle,Robbie Williams,【爵士乐】Swing（摇摆乐）
The Way You Look Tonight,Maroon 5,【爵士乐】Swing（摇摆乐）
The Burning Spider,Parov Stelar / Lightin Hopkins,【爵士乐】Swing（摇摆乐）
Joy Spring (Album Version),Arturo Sandoval,【爵士乐】Swing（摇摆乐）
Sway,Dean Martin,【爵士乐】Swing（摇摆乐）
Times of Your Life,Paul Anka,【爵士乐】Swing（摇摆乐）
You make me feel so young,Frank Sinatra,【爵士乐】Swing（摇摆乐）
La Mer (Beyond The Sea),Django Reinhardt,【爵士乐】Swing（摇摆乐）
Levitation (Ver. 2.0),Grooveman Spot,【爵士乐】Swing（摇摆乐）
I Got It Bad (And That Ain't Good),Benny Goodman,【爵士乐】Swing（摇摆乐）
(Back Home Again In) Indiana,Ray Brown,【爵士乐】Swing（摇摆乐）
Desafinado,Coleman Hawkins,【爵士乐】Swing（摇摆乐）
Whispering,Bucky Pizzarelli & Frank Vignola,【爵士乐】Swing（摇摆乐）
Reminiscence,Gustavo Santaolalla,【爵士乐】Swing（摇摆乐）
Shout for Joy,Albert Ammons,【爵士乐】Swing（摇摆乐）
Lullaby Of Birdland,Ella Fitzgerald,【爵士乐】Swing（摇摆乐）
Give a Little More,Maroon 5,【爵士乐】Swing（摇摆乐）
Honeysuckle Rose,Fats Waller,【爵士乐】Swing（摇摆乐）
All the Things You Are,Lionel Hampton,【爵士乐】Swing（摇摆乐）
I've Got My Love to Keep Me Warm,Teddy Wilson / Milt Hinton / Oliver Jackson,【爵士乐】Swing（摇摆乐）
The Star-Crossed Lovers,Duke Ellington,【爵士乐】Swing（摇摆乐）
I Don't Like To Sleep Alone,Paul Anka,【爵士乐】Swing（摇摆乐）
What a Wonderful World,Louis Armstrong,【爵士乐】Swing（摇摆乐）
It Don't Mean A Thing(If You Don't Got That Swing),Louis Armstrong / Duke Ellington,【爵士乐】Swing（摇摆乐）
Summer Time,Louis Armstrong,【爵士乐】Swing（摇摆乐）
Fly Me To The Moon,Oscar Peterson,【爵士乐】Swing（摇摆乐）
Dolphin Dance,Toots Thielemans,【爵士乐】Swing（摇摆乐）
Basin Street Blues,Louis Armstrong,【爵士乐】Swing（摇摆乐）
At The Jazz Band Ball (Album Version),Arturo Sandoval,【爵士乐】Swing（摇摆乐）
Blue Angel,Squirrel Nut Zippers,【爵士乐】Swing（摇摆乐）
My Drag (Album Version),Squirrel Nut Zippers,【爵士乐】Swing（摇摆乐）
My Little Brown Book,Duke Ellington,【爵士乐】Swing（摇摆乐）
That's What,John Pizzarelli,【爵士乐】Swing（摇摆乐）
Swing Lover,Indigo Swing,【爵士乐】Swing（摇摆乐）
Papa's In Bed With His Britches On (08-02-40),Una Mae Carlisle,【爵士乐】Swing（摇摆乐）
All I Want Is You,Les Paul and Mary Ford,【爵士乐】Swing（摇摆乐）
Swing To Bop,Charlie Christian,【爵士乐】Swing（摇摆乐）
That Glory Day,Una Mae Carlisle,【爵士乐】Swing（摇摆乐）
Open See,Polar Bear,【爵士乐】Swing（摇摆乐）
Misty,Terry Gibbs,【爵士乐】Swing（摇摆乐）
